TAXON_ORDER,CATEGORY,SPECIES_CODE,PRIMARY_COM_NAME,SCI_NAME,ORDER1,FAMILY,SPECIES_GROUP,REPORT_AS
6087,slash,y00481,Parasitic/Long-tailed Jaeger,Stercorarius parasiticus/longicaudus,Charadriiformes,Stercorariidae (Skuas and Jaegers),,y00481
6088,spuh,jaeger,jaeger sp.,Stercorarius sp. (jaeger sp.),Charadriiformes,Stercorariidae (Skuas and Jaegers),,jaeger
6089,spuh,y00615,jaeger/skua sp.,Stercorarius sp.,Charadriiformes,Stercorariidae (Skuas and Jaegers),,y00615
6090,species,doveki,Dovekie,Alle alle,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",Alcids,doveki
6093,species,commur,Common Murre,Uria aalge,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",,commur
6098,species,thbmur,Thick-billed Murre,Uria lomvia,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",,thbmur
6103,hybrid,x00793,Common x Thick-billed Murre (hybrid),Uria aalge x lomvia,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",,x00793
6104,slash,murre,Common/Thick-billed Murre,Uria aalge/lomvia,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",,murre
6105,species,razorb,Razorbill,Alca torda,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",,razorb
6108,spuh,laralc1,large alcid sp.,Uria/Alca sp.,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",,laralc1
6109,species,greauk,Great Auk,Pinguinus impennis,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",,greauk
6110,species,blkgui,Black Guillemot,Cepphus grylle,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",,blkgui
6111,issf,blkgui2,Black Guillemot (mandtii),Cepphus grylle mandtii,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",,blkgui
6112,issf,blkgui1,Black Guillemot (grylle Group),Cepphus grylle [grylle Group],Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",,blkgui
6117,species,piggui,Pigeon Guillemot,Cepphus columba,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",,piggui
6118,issf,piggui2,Pigeon Guillemot (snowi),Cepphus columba snowi,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",,piggui
6119,issf,piggui1,Pigeon Guillemot (columba Group),Cepphus columba [columba Group],Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",,piggui
6124,slash,y00223,Black/Pigeon Guillemot,Cepphus grylle/columba,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",,y00223
6125,species,spegui1,Spectacled Guillemot,Cepphus carbo,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",,spegui1
6126,species,lobmur,Long-billed Murrelet,Brachyramphus perdix,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",,lobmur
6127,species,marmur,Marbled Murrelet,Brachyramphus marmoratus,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",,marmur
6128,species,kitmur,Kittlitz's Murrelet,Brachyramphus brevirostris,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",,kitmur
6129,species,xanmur2,Scripps's Murrelet,Synthliboramphus scrippsi,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",,xanmur2
6130,species,xanmur1,Guadalupe Murrelet,Synthliboramphus hypoleucus,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",,xanmur1
6131,slash,xanmur,Scripps's/Guadalupe Murrelet (Xantus's Murrelet),Synthliboramphus scrippsi/hypoleucus,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",,xanmur
6132,species,cramur,Craveri's Murrelet,Synthliboramphus craveri,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",,cramur
6133,slash,y00777,Scripps's/Craveri's Murrelet,Synthliboramphus scrippsi/craveri,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",,y00777
6134,slash,y00482,Scripps's/Guadalupe/Craveri's Murrelet,Synthliboramphus scrippsi/hypoleucus/craveri,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",,y00482
6135,species,ancmur,Ancient Murrelet,Synthliboramphus antiquus,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",,ancmur
6138,species,japmur1,Japanese Murrelet,Synthliboramphus wumizusume,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",,japmur1
6139,spuh,murrel,murrelet sp.,Brachyramphus/Synthliboramphus sp.,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",,murrel
6140,species,casauk,Cassin's Auklet,Ptychoramphus aleuticus,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",,casauk
6143,species,parauk,Parakeet Auklet,Aethia psittacula,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",,parauk
6144,species,leaauk,Least Auklet,Aethia pusilla,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",,leaauk
6145,species,whiauk,Whiskered Auklet,Aethia pygmaea,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",,whiauk
6146,species,creauk,Crested Auklet,Aethia cristatella,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",,creauk
6147,species,rhiauk,Rhinoceros Auklet,Cerorhinca monocerata,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",,rhiauk
6148,spuh,auklet,auklet sp.,Ptychoramphus/Aethia sp.,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",,auklet
6149,species,atlpuf,Atlantic Puffin,Fratercula arctica,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",,atlpuf
6153,species,horpuf,Horned Puffin,Fratercula corniculata,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",,horpuf
6154,species,tufpuf,Tufted Puffin,Fratercula cirrhata,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",,tufpuf
6155,spuh,puffin1,puffin sp.,Fratercula sp.,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",,puffin1
6156,spuh,alcid,alcid sp.,Alcidae sp.,Charadriiformes,"Alcidae (Auks, Murres, and Puffins)",,alcid
6157,species,swtgul1,Swallow-tailed Gull,Creagrus furcatus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)","Gulls, Terns, and Skimmers",swtgul1
6158,species,bklkit,Black-legged Kittiwake,Rissa tridactyla,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,bklkit
6159,issf,bklkit1,Black-legged Kittiwake (tridactyla),Rissa tridactyla tridactyla,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,bklkit
6160,issf,bklkit2,Black-legged Kittiwake (pollicaris),Rissa tridactyla pollicaris,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,bklkit
6161,species,relkit,Red-legged Kittiwake,Rissa brevirostris,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,relkit
6162,slash,y00697,Black-legged/Red-legged Kittiwake,Rissa tridactyla/brevirostris,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,y00697
6163,species,ivogul,Ivory Gull,Pagophila eburnea,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,ivogul
6164,species,sabgul,Sabine's Gull,Xema sabini,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,sabgul
6169,species,saugul2,Saunders's Gull,Saundersilarus saundersi,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,saugul2
6170,species,slbgul1,Slender-billed Gull,Chroicocephalus genei,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,slbgul1
6171,species,bongul,Bonaparte's Gull,Chroicocephalus philadelphia,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,bongul
6172,species,andgul1,Andean Gull,Chroicocephalus serranus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,andgul1
6173,species,brhgul2,Brown-hooded Gull,Chroicocephalus maculipennis,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,brhgul2
6174,form,bnhgul3,Brown-hooded Gull (White-winged),Chroicocephalus maculipennis (White-winged),Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,brhgul2
6175,form,bnhgul2,Brown-hooded Gull (Dark-winged),Chroicocephalus maculipennis (Dark-winged),Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,brhgul2
6176,species,blbgul1,Black-billed Gull,Chroicocephalus bulleri,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,blbgul1
6177,species,rebgul1,Red-billed Gull,Chroicocephalus scopulinus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,rebgul1
6178,species,silgul1,Silver Gull,Chroicocephalus novaehollandiae,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,silgul1
6181,species,grhgul,Gray-hooded Gull,Chroicocephalus cirrocephalus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,grhgul
6184,species,hargul1,Hartlaub's Gull,Chroicocephalus hartlaubii,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,hargul1
6185,hybrid,x00886,Gray-hooded x Hartlaub's Gull (hybrid),Chroicocephalus cirrocephalus x hartlaubii,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,x00886
6186,species,bkhgul,Black-headed Gull,Chroicocephalus ridibundus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,bkhgul
6187,slash,y00778,Slender-billed/Black-headed Gull,Chroicocephalus genei/ridibundus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,y00778
6188,species,bnhgul1,Brown-headed Gull,Chroicocephalus brunnicephalus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,bnhgul1
6189,hybrid,x00734,Slender-billed x Brown-headed Gull (hybrid),Chroicocephalus genei x brunnicephalus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,x00734
6190,slash,y00955,Black-headed/Brown-headed Gull,Chroicocephalus ridibundus/brunnicephalus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,y00955
6191,species,litgul,Little Gull,Hydrocoloeus minutus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,litgul
6192,species,rosgul,Ross's Gull,Rhodostethia rosea,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,rosgul
6193,species,dolgul2,Dolphin Gull,Leucophaeus scoresbii,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,dolgul2
6194,species,grygul,Gray Gull,Leucophaeus modestus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,grygul
6195,species,laugul,Laughing Gull,Leucophaeus atricilla,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,laugul
6198,species,fragul,Franklin's Gull,Leucophaeus pipixcan,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,fragul
6199,hybrid,x00794,Bonaparte's x Franklin's Gull (hybrid),Chroicocephalus philadelphia x Leucophaeus pipixcan,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,x00794
6200,slash,y00685,Laughing/Franklin's Gull,Leucophaeus atricilla/pipixcan,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,y00685
6201,species,lavgul1,Lava Gull,Leucophaeus fuliginosus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,lavgul1
6202,species,medgul1,Mediterranean Gull,Ichthyaetus melanocephalus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,medgul1
6203,hybrid,x00695,Black-headed x Mediterranean Gull (hybrid),Chroicocephalus ridibundus x Ichthyaetus melanocephalus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,x00695
6204,slash,y00779,Black-headed/Mediterranean Gull,Chroicocephalus ridibundus/Ichthyaetus melanocephalus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,y00779
6205,species,relgul2,Relict Gull,Ichthyaetus relictus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,relgul2
6206,species,whegul2,White-eyed Gull,Ichthyaetus leucophthalmus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,whegul2
6207,species,soogul2,Sooty Gull,Ichthyaetus hemprichii,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,soogul2
6208,species,gbhgul2,Pallas's Gull,Ichthyaetus ichthyaetus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,gbhgul2
6209,species,audgul1,Audouin's Gull,Ichthyaetus audouinii,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,audgul1
6210,species,belgul,Belcher's Gull,Larus belcheri,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,belgul
6211,species,olrgul1,Olrog's Gull,Larus atlanticus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,olrgul1
6212,species,bktgul,Black-tailed Gull,Larus crassirostris,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,bktgul
6213,species,pacgul1,Pacific Gull,Larus pacificus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,pacgul1
6216,species,heegul,Heermann's Gull,Larus heermanni,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,heegul
6217,species,mewgul,Mew Gull,Larus canus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,mewgul
6218,issf,comgul1,Mew Gull (European),Larus canus canus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,mewgul
6219,issf,mewgul3,Mew Gull (Russian),Larus canus heinei,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,mewgul
6220,issf,kamgul1,Mew Gull (Kamchatka),Larus canus kamtschatschensis,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,mewgul
6221,issf,mewgul2,Mew Gull (American),Larus canus brachyrhynchus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,mewgul
6222,hybrid,x00847,Mediterranean x Mew Gull (hybrid),Ichthyaetus melanocephalus x Larus canus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,x00847
6223,species,ribgul,Ring-billed Gull,Larus delawarensis,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,ribgul
6224,hybrid,x00641,Black-headed x Ring-billed Gull (hybrid),Chroicocephalus ridibundus x Larus delawarensis,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,x00641
6225,hybrid,x00616,Laughing x Ring-billed Gull (hybrid),Leucophaeus atricilla x Larus delawarensis,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,x00616
6226,hybrid,x00795,Franklin's x Ring-billed Gull (hybrid),Leucophaeus pipixcan x Larus delawarensis,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,x00795
6227,species,wesgul,Western Gull,Larus occidentalis,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,wesgul
6230,species,yefgul,Yellow-footed Gull,Larus livens,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,yefgul
6231,slash,y00683,Western/Yellow-footed Gull,Larus occidentalis/livens,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,y00683
6232,species,calgul,California Gull,Larus californicus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,calgul
6233,issf,calgul1,California Gull (californicus),Larus californicus californicus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,calgul
6234,issf,calgul2,California Gull (albertaensis),Larus californicus albertaensis,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,calgul
6235,species,hergul,Herring Gull,Larus argentatus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,hergul
6236,issf,amhgul1,Herring Gull (American),Larus argentatus smithsonianus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,hergul
6237,issf,veggul1,Herring Gull (Vega),Larus argentatus vegae,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,hergul
6238,issf,casgul4,Herring Gull (Mongolian),Larus argentatus mongolicus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,hergul
6239,issf,euhgul1,Herring Gull (European),Larus argentatus argentatus/argenteus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,hergul
6242,hybrid,x00796,Ring-billed x Herring Gull (hybrid),Larus delawarensis x argentatus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,x00796
6243,hybrid,x00797,California x Herring Gull (hybrid),Larus californicus x argentatus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,x00797
6244,species,yelgul1,Yellow-legged Gull,Larus michahellis,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,yelgul1
6245,issf,yelgul2,Yellow-legged Gull (atlantis),Larus michahellis atlantis,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,yelgul1
6246,issf,yelgul3,Yellow-legged Gull (michahellis),Larus michahellis michahellis,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,yelgul1
6247,slash,y00848,Herring/Yellow-legged Gull,Larus argentatus/michahellis,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,y00848
6248,species,casgul2,Caspian Gull,Larus cachinnans,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,casgul2
6249,hybrid,x00915,Herring x Caspian Gull (hybrid),Larus argentatus x cachinnans,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,x00915
6250,slash,y00724,Yellow-legged/Caspian Gull,Larus michahellis/cachinnans,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,y00724
6251,species,armgul1,Armenian Gull,Larus armenicus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,armgul1
6252,slash,y00725,Yellow-legged/Caspian/Armenian Gull,Larus michahellis/cachinnans/armenicus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,y00725
6253,species,y00478,Iceland Gull,Larus glaucoides,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,y00478
6254,issf,thagul,Iceland Gull (Thayer's),Larus glaucoides thayeri,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,y00478
6255,issf,kumgul1,Iceland Gull (kumlieni),Larus glaucoides kumlieni,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,y00478
6256,form,icegul2,Iceland Gull (thayeri/kumlieni),Larus glaucoides thayeri/kumlieni,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,y00478
6257,issf,icegul1,Iceland Gull (glaucoides),Larus glaucoides glaucoides,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,y00478
6258,form,icegul,Iceland Gull (glaucoides/kumlieni),Larus glaucoides glaucoides/kumlieni,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,y00478
6259,intergrade,x00435,Iceland Gull (Thayer's x Iceland),Larus glaucoides thayeri x glaucoides/kumlieni,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,y00478
6260,hybrid,x00617,Herring x Iceland Gull (hybrid),Larus argentatus x glaucoides,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,x00617
6261,slash,y00682,Herring/Iceland Gull,Larus argentatus/glaucoides,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,y00682
6262,species,lbbgul,Lesser Black-backed Gull,Larus fuscus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,lbbgul
6263,issf,lbbgul1,Lesser Black-backed Gull (fuscus),Larus fuscus fuscus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,lbbgul
6264,issf,lbbgul2,Lesser Black-backed Gull (intermedius),Larus fuscus intermedius,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,lbbgul
6265,issf,lbbgul3,Lesser Black-backed Gull (graellsii),Larus fuscus graellsii,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,lbbgul
6266,issf,lbbgul4,Lesser Black-backed Gull (Heuglin's),Larus fuscus heuglini,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,lbbgul
6267,issf,casgul3,Lesser Black-backed Gull (Steppe),Larus fuscus barabensis,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,lbbgul
6268,form,lbbgul5,Lesser Black-backed Gull (taimyrensis),Larus fuscus taimyrensis,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,lbbgul
6269,hybrid,x00057,Herring x Lesser Black-backed Gull (hybrid),Larus argentatus x fuscus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,x00057
6270,slash,y00726,Herring/Lesser Black-backed Gull,Larus argentatus/fuscus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,y00726
6271,slash,y00849,Yellow-legged/Lesser Black-backed Gull,Larus michahellis/fuscus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,y00849
6272,species,slbgul,Slaty-backed Gull,Larus schistisagus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,slbgul
6273,hybrid,x00434,Herring x Slaty-backed Gull (hybrid),Larus argentatus x schistisagus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,x00434
6274,species,glwgul,Glaucous-winged Gull,Larus glaucescens,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,glwgul
6275,hybrid,x00051,Western x Glaucous-winged Gull (hybrid),Larus occidentalis x glaucescens,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,x00051
6276,hybrid,x00050,Herring x Glaucous-winged Gull (hybrid),Larus argentatus x glaucescens,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,x00050
6277,slash,y00956,Herring/Glaucous-winged Gull,Larus argentatus/glaucescens,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,y00956
6278,hybrid,x00436,Slaty-backed x Glaucous-winged Gull (hybrid),Larus schistisagus x glaucescens,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,x00436
6279,slash,y00656,Western/Glaucous-winged Gull,Larus occidentalis/glaucescens,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,y00656
6280,species,glagul,Glaucous Gull,Larus hyperboreus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,glagul
6285,hybrid,nelgul,Herring x Glaucous Gull (hybrid),Larus argentatus x hyperboreus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,nelgul
6286,hybrid,x00437,Slaty-backed x Glaucous Gull (hybrid),Larus schistisagus x hyperboreus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,x00437
6287,hybrid,x00048,Glaucous-winged x Glaucous Gull (hybrid),Larus glaucescens x hyperboreus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,x00048
6288,spuh,whwgul1,white-winged gull sp.,Larus sp. (white-winged gull sp.),Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,whwgul1
6289,species,gbbgul,Great Black-backed Gull,Larus marinus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,gbbgul
6290,hybrid,x00047,Herring x Great Black-backed Gull (hybrid),Larus argentatus x marinus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,x00047
6291,hybrid,x00632,Glaucous x Great Black-backed Gull (hybrid),Larus hyperboreus x marinus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,x00632
6292,species,kelgul,Kelp Gull,Larus dominicanus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,kelgul
6293,issf,kelgul3,Kelp Gull (dominicanus),Larus dominicanus dominicanus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,kelgul
6294,issf,kelgul2,Kelp Gull (austrinus),Larus dominicanus austrinus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,kelgul
6295,issf,kelgul4,Kelp Gull (judithae),Larus dominicanus judithae,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,kelgul
6296,issf,kelgul1,Kelp Gull (vetula),Larus dominicanus vetula,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,kelgul
6297,issf,kelgul5,Kelp Gull (melisandae),Larus dominicanus melisandae,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,kelgul
6298,hybrid,kxhgul1,Herring x Kelp Gull (hybrid),Larus argentatus x dominicanus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,kxhgul1
6299,spuh,larus1,Larus sp.,Larus sp.,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,larus1
6300,spuh,larus,gull sp.,Larinae sp.,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,larus
6301,species,brnnod,Brown Noddy,Anous stolidus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,brnnod
6307,species,blknod,Black Noddy,Anous minutus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,blknod
6308,issf,blknod3,Black Noddy (americanus),Anous minutus americanus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,blknod
6309,issf,blknod1,Black Noddy (melanogenys),Anous minutus melanogenys,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,blknod
6310,issf,blknod2,Black Noddy (minutus Group),Anous minutus [minutus Group],Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,blknod
6316,slash,noddy,Brown/Black Noddy,Anous stolidus/minutus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,noddy
6317,species,lesnod1,Lesser Noddy,Anous tenuirostris,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,lesnod1
6320,slash,y00780,Black/Lesser Noddy,Anous minutus/tenuirostris,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,y00780
6321,species,grynod1,Gray Noddy,Anous albivitta,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,grynod1
6325,species,bugnod,Blue-gray Noddy,Anous ceruleus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,bugnod
6331,species,whiter,White Tern,Gygis alba,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,whiter
6332,issf,whiter3,White Tern (Atlantic),Gygis alba alba,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,whiter
6333,issf,whiter4,White Tern (Pacific),Gygis alba candida/leucopes,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,whiter
6336,issf,whiter5,White Tern (Little),Gygis alba microrhyncha,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,whiter
6337,species,sooter1,Sooty Tern,Onychoprion fuscatus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,sooter1
6346,species,gybter1,Gray-backed Tern,Onychoprion lunatus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,gybter1
6347,species,briter1,Bridled Tern,Onychoprion anaethetus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,briter1
6354,slash,y00318,Sooty/Bridled Tern,Onychoprion fuscatus/anaethetus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,y00318
6355,species,aleter1,Aleutian Tern,Onychoprion aleuticus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,aleter1
6356,species,litter1,Little Tern,Sternula albifrons,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,litter1
6363,species,leater1,Least Tern,Sternula antillarum,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,leater1
6367,slash,y00661,Little/Least Tern,Sternula albifrons/antillarum,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,y00661
6368,species,yebter2,Yellow-billed Tern,Sternula superciliaris,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,yebter2
6369,species,faiter2,Australian Fairy Tern,Sternula nereis,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",,faiter2
